ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3003072,mphL,"mphL is a chromosomally-encoded macrolide phosphotransferases that inactivate 14- and 15-membered macrolides such as erythromycin, clarithromycin, azithromycin.","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",100,3
ARO:3003093,cphA3,"CEPH-A3 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas veronii. This enzyme has specific activity against carbapenems and is active as a mono-zinc protein.","CphA beta-lactamase",carbapenem,Beta-lactam,"antibiotic inactivation",2,1
ARO:3003094,imiH,"imiH is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas hydrophila. This enzyme has specific activity against carbapenems.","CphA beta-lactamase",carbapenem,Beta-lactam,"antibiotic inactivation",12,2
ARO:3003095,imiS,"imiS is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas veronii. This enzyme has specific activity against carbapenems.","CphA beta-lactamase",carbapenem,Beta-lactam,"antibiotic inactivation",4,2
ARO:3003097,CfxA6,"cfxA6 beta-lactamase is a class A beta-lactamase found in an uncultured bacterium","CfxA beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",30866,4
ARO:3003100,cphA4,"CphA4 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas allosaccharophila. This enzyme has specific activity against carbapenems and is active as a mono-zinc protein.","CphA beta-lactamase",carbapenem,Beta-lactam,"antibiotic inactivation",20,2
ARO:3003105,dfrA3,"dfrA3 is an integron-encoded dihydrofolate reductase found in Escherichia coli","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",99904,854
ARO:3003106,Erm(42),"Erm42 confers MLSb phenotype in Pasteurella multocida","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",10792,127
ARO:3003107,mef(B),"mef(B) is a macrolide efflux gene located in the vicinity of sul3 in Escherichia coli. There is also a mefB found in Streptococcus agalactiae that confers resistance to macrolides.","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic",MLS,"antibiotic efflux",9716,79
ARO:3003109,msrE,"MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",83534,698
ARO:3003110,catB10,"catB10 is an integron-encoded variant of the cat gene found in P. aeruginosa","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",10894,108
ARO:3003111,lsaB,"LsaB is an ABC-F subfamily protein expressed in Staphylococcus sciuri. It confers resistance to clindamycin.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",413484,1934
ARO:3003112,lsaC,"LsaC is an ABC-F subfamily protein expressed in Streptococcus agalactiae. It confers resistance to lincomycin, clindamycin, dalfopristin, and tiamulin","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",577264,3771
ARO:3003171,ACT-36,"From the Lahey list of beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",10,1
ARO:3003172,ACT-37,"From the Lahey list of beta-lactamases.","ACT beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",2094,14
ARO:3003177,IMI-7,"From the Lahey list of beta-lactamases.","IMI beta-lactamase",carbapenem,Beta-lactam,"antibiotic inactivation",4,1
ARO:3003193,QnrVC7,"QnrVC7 is a fluoroquinolone resistance gene in Lahey's list of qnr genes.","quinolone resistance protein (qnr)","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic target protection",20,2
ARO:3003194,GIM-2,"GIM-2 is a metallo-beta-lactamase present on an integron found in clinical isolates of Enterobacter cloacae in Germany","GIM beta-lactamase",carbapenem;cephalosporin;cephamycin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",4,2
ARO:3003196,tet(45),"tet45 is a tetracycline efflux pump found in Bhargavaea cecembensis strain previously isolated from a poultry-litter-impacted soil.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",19912,30
ARO:3003197,aadA25,"streptomycin/spectinomycin resistance gene found in Pasteurella multocida isolated from bovine respiratory tract",ANT(3''),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",2230,3
ARO:3003199,AAC(6')-Iak,"AAC(6')-Iak is a 6'-N-aminoglycoside acetyltransferase-encoding gene isolated from a multidrug-resistant clinical isolate of Stenotrophomonas maltophilia",AAC(6'),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",2220,9
ARO:3003200,AAC(6')-Ian,"AAC(6')-Ian is an amikacin acetyltransferase gene found on a transferable plasmid of the Serratia marcescens strain NUBL-11663. It catalyzes the transfer of an acetyl group from acetyl coenzyme A onto an amine at the 6'-position of various aminoglycosides.",AAC(6'),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",1472,31
ARO:3003202,TLA-1,"TLA-1 is a beta-lactamase found in plasmids of clinical isolates of Escherichia coli strain R170 in Latin America. It preferentially hydrolyzed cephaloridine, cefotaxime, cephalothin, benzylpenicillin, and ceftazidime. The enzyme was markedly inhibited by sulbactam, tazobactam, and clavulanic acid.","TLA beta-lactamase","cephalosporin;fluoroquinolone antibiotic;monobactam",Beta-lactam,"antibiotic inactivation",2100,9
ARO:3003203,TLA-2,"TLA-2 is a beta-lactamase is present on a plasmid isolated from an unidentified bacterial strain from a waste water treatment plant. The enzyme mostly hydrolyzes cephalosporins.","TLA beta-lactamase","cephalosporin;fluoroquinolone antibiotic;monobactam",Beta-lactam,"antibiotic inactivation",514,8
ARO:3003204,TLA-3,"TLA-3 is a beta-lactamase found in a transferable plasmid of Serratia marcescens clinical isolate. It confers resistance to ceftazidime, cefotaxime and cefepime, but not to cefmetazole and meropenem","TLA beta-lactamase","cephalosporin;fluoroquinolone antibiotic;monobactam",Beta-lactam,"antibiotic inactivation",3938,14
ARO:3003205,Erm(43),"Erm(43) is a macrolide, lincosamide, and streptogramin B resistance gene found in Staphylococcus lentus chromosome isolated from human, dog and chicken.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",952,9
ARO:3003206,lsaE,"lsaE is an ABC-F subfamily protein found in porcine MRSA isolates. It confers resistance to pleuromutilin, lincosamide, and streptogramin A","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",428,4
ARO:3003207,FosK,"FosK is a fosfomycin thiol transferase isolated from Acinetobacter soli. It is integrin-mediated. It confers a high level of resistance to fosfomycin.","fosfomycin thiol transferase",fosfomycin,Fosfomycin,"antibiotic inactivation",140,2
ARO:3003209,FosA5,"fosA5 is a fosfomycin resistance gene isolated from clinical strain of Escherichia coli E265. It is susceptible to amikacin, tetracycline and imipenem, and resistant to sulphonamide, cephalosporins, gentamicin, ciprofloxacin, chloramphenicol and streptomycin","fosfomycin thiol transferase",fosfomycin,Fosfomycin,"antibiotic inactivation",2,1
ARO:3003250,bcrC,"The bcrC gene product (BcrC) is an undecaprenyl pyrophosphate phosphatase originally isolated from Bacillus subtilis. When overexpressed it can confer resistance to bacitracin.","undecaprenyl pyrophosphate related proteins","peptide antibiotic",Peptide,"antibiotic target alteration",12396,70
ARO:3003318,"Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","point mutation on the Streptomyces rishiriensis parY resulting in aminocoumarin resistance","aminocoumarin resistant parY","aminocoumarin antibiotic",Aminocoumarin,"antibiotic target alteration",4161760,23751
ARO:3003324,"Bacillus subtilis mprF","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins. Additionally, large-scale mutations causing loss of function of the gene result in increased susceptibility to daptomycin.","defensin resistant mprF","peptide antibiotic",Peptide,"antibiotic target alteration",558,20
ARO:3003440,mecB,"A foreign PBP2 acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.","methicillin resistant PBP2",carbapenem;cephalosporin;cephamycin;monobactam;penam,Beta-lactam,"antibiotic target replacement",240716,1163
ARO:3003441,cfrA,"CfrA is a chloramphenicol-florfenicol resistance gene and methyltransferase enzyme. Methylation of position 8 of A2503 in 23S rRNA confers resistance to chloramphenicol antibiotics first identified by Schwarz 2000 as cfr from Staphylococcus sciuri. Additional Oxazolidinone resistance mediated by the cfr gene in a human isolated was first reported from Colombia in linezolid- and methicillin-resistant Staphylococcus aureus (PMID: 10952608). Described by Arias et al. 2008.  Chandela T. et al. (PMID:  28663118) grouped Cfr with ClbA in the Cfr Group.","Cfr 23S ribosomal RNA methyltransferase","lincosamide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic",Multidrug,"antibiotic target alteration",45816,518
ARO:3003548,mdtN,"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride.","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;nucleoside antibiotic",Multidrug,"antibiotic efflux",8928,86
ARO:3003549,mdtO,"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;nucleoside antibiotic",Multidrug,"antibiotic efflux",396,10
ARO:3003550,mdtP,"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;nucleoside antibiotic",Multidrug,"antibiotic efflux",1068,32
ARO:3003551,emeA,"A multidrug efflux pump from Enterococcus faecalis. There exist efflux activity of several antimicrobial agents such as DAPI, Hoechst 33342 and acriflavine. Efflux of DAPI via EmeA was strongly inhibited by reserpine.","multidrug and toxic compound extrusion (MATE) transporter","acridine dye",Multidrug,"antibiotic efflux",4664,44
ARO:3003552,fusB,"FusB encodes a 2-domain zinc-binding protein that binds the ribosomal translocase EF-G, causing it to dissociate from the ribosome. This action increases the ribosomal turnover rate and confers resistance to fusidic acid.","fusidic acid inactivation enzyme","fusidic acid","Fusidic acid","antibiotic inactivation",36,4
ARO:3003553,CepS,"CEPS is a typical class C cephalosporinase found in Aeromonas sobria, first isolated from strain 163a.","CepS beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",5486,23
ARO:3003556,SLB-1,"This enzyme breaks the beta-lactam antibiotic ring open and deactivates the molecule's antibacterial properties.","SHW beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",854,11
ARO:3003558,"y56 beta-lactamase","Class A beta-lactamase found in Yersinia enterocolitica biovar 1A","BlaA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",46,3
ARO:3003559,cepA,"A beta-lactamase found in Bacteroides fragilis producing either low or high levels of the endogenous cephalosporinase activity","cepA beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",60076,171
ARO:3003561,Sed-1,"Sed-1 is a chromosomal-encoded class A beta-lactamase identified in Citrobacter sedlakii.","Sed beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",14,2
ARO:3003562,blaF,"Class A beta-lactamase found in Mycolicibacterium fortuitum","blaF family beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",876,12
ARO:3003563,RCP-1,"RCP is a class A beta-lactamase found in Rhodopseudomonas capsulata.","RCP beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",72,4
ARO:3003564,EXO-1,"Class A beta-lactamase found in Streptomyces albus G","EXO beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",2448,6
ARO:3003565,R39,"Class A beta-lactamase found in Actinomadura R39","R39 beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",98,9
ARO:3003576,eptA,"PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine, resulting in a less negative cell membrane and decreased binding of polymyxin B.","pmr phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",81200,448
ARO:3003577,ugd,"PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A, which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin","pmr phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",1359182,11311
ARO:3003578,PmrF,"PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A, which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.","pmr phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",741602,3929
ARO:3003583,basS,"Histidine protein kinase sensor Lipid A modification gene; part of a two-component system involved in polymyxin resistance that senses high extracellular Fe(2+)","pmr phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic efflux;antibiotic target alteration",276352,1807
